issue,terriss,riveriss,mariss,region,claimdy,claim,dyadnum,chal,tgt,dyad,year,icowsal,icowsalc,salchal,saltgt,salold,saltan,salint,salintc,salintt,tchomechal,tchometgt,tcpop,tcresource,tcstratloc,tcidenchal,tcidentgt,tchistchal,tchisttgt,tcoffshore,tccontchal,tcconttgt,tcncontig,tcentirecl,tcarea,tclnarea,rcquantcl,rcqualcl,rcnavcl,rcrivtype,rchomechal,rchometgt,rcnavc,rcnavt,rcpopc,rcpopt,rcresourcc,rcresourct,rcpowerc,rcpowert,rcirrigc,rcirrigt,rcdamsc,rcdamst,rcterrclm,rcterrnum,mchomechal,mchometgt,mcresource,mcstratloc,mcfishing,mcmigrate,mcoil,mcoffshore,mcterrclm,mcterrnum,nbilat,attbilat,n3non,att3non,n3bind,att3bind,att3rd,nmidiss,midissyr,maxhost,maxfatal,nfatal,midfatyr,nwar,waryr,attemptsp,attemptst,attanyp,attanyt,attmult,attnone,recmid5,recmid10,recmid15,recmidwt,recfat5,recfat10,recfat15,recfatwt,recwar5,recwar10,recwar15,recwarwt,recno5,recno10,recno15,recnowt,recyes5,recyes10,recyes15,recyeswt,pacsett,tergen,terviol,tertot,version
1,1,0,0,1,401,4,1,2,200,2200,1838,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,.7,0,0,1,0,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1839,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,.5,0,0,1,0,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1840,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,.3,0,0,1,0,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1841,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,.9,0,0,0,0,0,0,0,0,0,1,2,.2,0,0,1,0,0,0,0,0,1.1
1,1,0,0,1,401,4,1,2,200,2200,1842,3,1,2,1,5,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,12027,9.394993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,.8,0,0,0,0,0,0,0,0,0,0,2,.1,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,501,5,1,2,20,2020,1971,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1.1
1,1,0,0,1,501,5,1,2,20,2020,1972,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1.1
1,1,0,0,1,501,5,1,2,20,2020,1973,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1.1
1,1,0,0,1,501,5,1,2,20,2020,1974,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1.1
1,1,0,0,1,501,5,1,2,20,2020,1975,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1976,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1977,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1978,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1979,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1980,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1981,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1982,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1983,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1984,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1985,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1986,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1.1
